Date,FPT,HPG,BMP,GAS,MWG,PTB,IMP,MSN,VCB,VNM
01/03/2019,19.2421,11.9920,32.8921,69.3366,42.1414,34.0245,40.1019,72.0197,40.0869,93.6774
01/04/2019,19.7598,11.1867,30.2729,71.2178,40.5039,33.9709,39.7928,71.2105,43.6960,91.8224
02/05/2019,21.5071,11.9045,28.4456,80.6239,41.4189,34.8674,39.4837,71.6151,43.1160,86.1249
03/06/2019,21.0681,11.0292,28.4456,71.7129,41.6411,35.5444,38.8656,68.7829,42.8582,84.7999
01/07/2019,22.8117,10.4694,27.6635,73.3395,46.3930,39.7759,37.5875,69.2684,45.9517,83.7928
01/08/2019,23.4171,10.2873,31.3306,76.5927,53.1536,38.0833,39.2777,64.8178,51.8809,83.2565
03/09/2019,26.5066,9.8549,31.7166,72.2059,57.6116,38.5347,38.6338,59.8816,50.1408,83.1225
01/10/2019,28.8759,9.9687,33.2606,76.8364,62.4616,40.1709,39.4387,63.7658,53.7499,88.6890
01/11/2019,28.8759,9.9687,34.0969,75.6064,61.3348,41.6378,39.1167,61.2572,57.2301,91.7377
02/12/2019,26.9508,10.4466,33.3892,70.9036,53.1046,41.4121,43.8654,55.8355,53.8144,81.9680
02/01/2020,28.9252,10.9246,30.2349,68.4437,57.3177,40.0580,38.7948,46.1250,59.0387,82.3912
03/02/2020,25.4206,11.1749,28.2595,60.1957,53.3006,39.4938,45.0727,40.4605,57.6732,75.6825
02/03/2020,27.4938,10.1507,27.1211,57.1570,52.1738,36.0522,46.6825,39.6513,53.1868,73.0270
01/04/2020,20.8795,7.8520,23.4379,40.5887,29.9816,20.7625,34.6497,39.8132,42.2634,65.6893
04/05/2020,24.9270,9.5590,31.2729,46.1597,38.8977,25.2436,41.9338,46.3678,43.8238,68.2051
01/06/2020,27.9301,12.5860,33.3009,54.4800,42.1310,27.0921,45.1532,51.0612,56.2428,81.1333
01/07/2020,26.7157,12.4722,37.6384,51.3689,40.1714,29.1717,45.8776,44.9112,53.7720,81.2025
03/08/2020,26.5422,12.7415,35.6392,51.0014,37.2320,26.4727,39.5816,42.5645,51.2362,77.3087
01/09/2020,29.4712,13.7987,40.5575,57.2248,45.9521,30.0144,42.5536,44.1829,53.9671,87.2201
01/10/2020,30.0028,15.0228,44.3352,54.9479,51.4390,32.9558,43.2741,44.4257,55.1374,94.3308
02/11/2020,30.5343,17.0258,40.5832,52.8988,52.8542,31.2150,44.6250,68.3783,55.7876,92.8636
01/12/2020,32.6014,19.8078,45.3665,63.3723,57.6230,35.5370,48.4525,67.1645,59.8189,94.6760
04/01/2021,35.5545,23.5357,47.8329,67.3947,59.9081,37.0978,52.2351,72.7978,64.8960,94.3308
01/02/2021,37.5035,21.3379,44.8433,57.0730,61.4480,37.5780,48.8128,67.1476,59.7174,89.4577
01/03/2021,46.0082,25.7057,49.1205,69.7474,66.9619,45.4418,57.4586,74.7631,65.0271,91.9837
01/04/2021,47.0713,26.9854,45.7223,68.7608,66.7135,50.7243,66.1944,75.5820,63.5194,87.9769
04/05/2021,48.9612,33.2727,45.6450,63.2205,69.2470,48.0230,65.2938,78.5299,64.9616,79.7889
01/06/2021,59.7674,42.0024,45.7950,63.5240,67.8064,50.6043,65.4740,87.6194,67.9769,78.3081
01/07/2021,61.0025,39.9590,46.6666,73.7498,75.0589,57.0004,72.9625,93.7389,76.3020,80.1652
02/08/2021,65.6000,35.7588,45.3196,73.2017,84.3978,63.4851,65.1615,112.4867,63.5850,76.2848
01/09/2021,64.0770,37.2346,43.1804,69.3655,54.7419,66.0790,66.6299,110.0916,65.1582,77.6959
01/10/2021,64.4237,40.4131,41.9127,81.0308,62.6899,74.5739,66.9970,115.6251,62.8639,80.5647
01/11/2021,66.4348,42.1538,47.5381,94.9665,64.5775,71.9152,67.9148,120.1675,63.5850,80.7442
01/12/2021,68.0991,37.0832,47.0627,77.1162,68.9986,65.1711,66.6299,123.8014,64.8960,78.5013
04/01/2022,64.8398,35.3804,46.7458,79.7781,68.4522,63.5500,69.8421,140.6269,66.8893,77.7835
07/02/2022,62.0659,32.5802,50.5104,89.7993,66.5148,67.5056,73.2378,122.3454,78.2351,76.1617
01/03/2022,64.7705,35.4939,51.2389,92.1480,67.5580,69.9050,74.7980,129.4594,71.9695,72.2396
01/04/2022,76.9756,34.5858,52.7769,85.8848,77.4930,77.2975,68.9243,121.1873,70.1068,74.5199
04/05/2022,72.4680,31.7856,49.1343,84.5539,74.2641,72.1098,66.0792,112.2744,67.6513,66.1284
01/06/2022,77.5304,25.9961,49.5911,94.7316,72.2771,73.0656,62.1419,114.1605,68.1594,65.5811
01/07/2022,73.8989,22.4000,47.4349,88.4684,70.3000,56.0079,55.7588,108.7007,62.6558,67.2230
01/08/2022,70.5399,22.8000,51.0008,86.7751,61.3000,55.6430,62.4236,109.4000,65.1959,69.3642
05/09/2022,73.2295,23.9000,54.3180,93.6110,72.5000,59.8390,57.3546,115.5000,69.9374,67.0049
03/10/2022,65.4138,19.7500,45.6934,86.0513,59.6000,44.1495,58.1994,94.0000,59.7770,75.6872
01/11/2022,64.1395,15.0000,56.9929,88.4640,50.1000,43.8759,49.7511,86.5000,63.5025,77.7634
01/12/2022,63.4599,18.2000,51.1363,85.6492,44.0500,39.4062,56.3220,99.0000,67.7360,75.4101
03/01/2023,67.9624,19.2500,53.9335,84.4429,43.9500,38.9482,56.5097,96.0000,69.9374,74.1613
01/02/2023,69.6614,21.1000,53.8461,85.7296,47.1000,41.9801,53.9753,95.2000,75.4410,73.8731
01/03/2023,68.3871,20.9000,53.4964,84.5233,40.8000,39.6478,46.9350,80.5000,78.7431,71.4715
03/04/2023,68.7270,21.0000,51.2237,82.4323,39.0000,40.9073,44.1189,76.8000,78.5738,65.8998
04/05/2023,66.6881,21.3000,72.0279,73.9880,37.9000,40.1143,51.5346,70.6000,74.9330,63.4982
01/06/2023,70.9357,21.4000,73.1856,73.9880,39.3000,45.2122,51.9101,71.8000,79.5051,67.9171
03/07/2023,73.3994,26.2000,86.1445,75.5965,43.0000,46.2840,59.0442,75.4000,84.6700,73.0085
01/08/2023,83.5198,27.5000,90.2466,80.9847,51.7000,51.4483,65.5213,86.7000,91.2000,79.5073
05/09/2023,96.8000,27.8000,81.6695,82.9967,54.3000,56.0280,65.2397,81.5000,90.1000,75.0406
02/10/2023,93.2000,26.2000,80.8304,89.3000,51.9000,57.0024,65.5213,77.4000,86.5000,75.0406
01/11/2023,85.4000,23.9500,75.0502,76.9000,35.1000,52.6176,57.0000,59.5000,87.8000,69.8790
01/12/2023,92.4000,26.9000,87.2000,77.7000,38.7500,56.0280,54.8000,61.5000,85.0000,67.8938
02/01/2024,95.9000,27.4500,109.0000,75.6000,42.4500,57.1973,57.0000,68.4000,83.5000,68.3000
01/02/2024,99.9000,27.8500,107.1000,75.5000,46.2000,54.3000,62.0000,65.1000,89.8000,67.5000
01/03/2024,110.8000,30.8500,115.0000,77.6000,46.6000,59.8000,66.8000,70.5000,97.3000,71.5000